ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
8126,8126,waarikápĩ́ĩ́,remopaddle20942,false,expert,Chacon2017,w   a a   -   -   -   r   i   k   a   p   ĩ ĩ   -   -,,Chacon2017
8127,8127,hadérikáro,lanzaspear12520,false,expert,Chacon2017,h   a   d   e   r   i   k   a   r   o,,Chacon2017
8128,8128,ãdĩ̵́gi̵,flechaarrow27107,false,expert,Chacon2017,-   -   -   -   -   ã   d   ĩ ̵   g   i ̵   -   -   -,,Chacon2017
8129,8129,bupúá,cerbatanablowgun26615,false,expert,Chacon2017,b   u   p   u   -   a   -   -   -   -   -,,Chacon2017
8130,8130,wekí̵,dantatapir7060,false,expert,Chacon2017,w   e   k   i ̵,,Chacon2017
8131,8131,bãkã́dĩ̵kĩ̵ jáí,tigrejaguar26618,false,expert,Chacon2017,b   ã   k   ã   d   ĩ ̵   k   ĩ ̵,,Chacon2017
8132,8132,jáí hũwĩ̵,leonpumapuma13133,false,expert,Chacon2017,j   a   -   i,,Chacon2017
8133,8133,hũãgi̵ jaí,leonpumapuma13121,false,expert,Chacon2017,h   ũ   ã   g   i ̵,,Chacon2017
8134,8134,pã́bṍ,armadilloquinquinchochupaarmadillo1921,false,expert,Chacon2017,p   ã   b   õ   -   -,,Chacon2017
8135,8135,ekárikí̵ jái,perrodog26482,false,expert,Chacon2017,e   k   a   r   i   k   i ̵,,Chacon2017
8136,8136,jã́bã́,venadodeer24668,false,expert,Chacon2017,j   ã   b   ã   -   -,,Chacon2017
8137,8137,ébṍã́bĩ̵,monoaulladorhowlermonkey14586,false,expert,Chacon2017,-   e   b   õ   ã   b   ĩ ̵   -   -,,Chacon2017
8138,8138,waú,marimondamaquisapaspidermonkey14013,false,expert,Chacon2017,w   a   u,,Chacon2017
8139,8139,ihiáro boki̵,marimondamaquisapaspidermonkey14062,false,expert,Chacon2017,i   h   i   a   r   o,,Chacon2017
8140,8140,día jehe,chiguiroronsococapybara4908,false,expert,Chacon2017,d   i   a,,Chacon2017
8141,8141,bí̵kó,osohormigueroanteater17152,false,expert,Chacon2017,b   i ̵   k   o,,Chacon2017
8142,8142,hẽ́bẽ́,pacaguaguamajaspaca17426,false,expert,Chacon2017,h   ẽ   b   ẽ   -,,Chacon2017
8143,8143,i̵hó,caimancayman3278,false,expert,Chacon2017,-   i ̵   -   h   o   -   -   -   -   -,,Chacon2017
8144,8144,í̵hó,caimancayman3278,false,expert,Chacon2017,-   i ̵   -   h   o   -   -   -   -   -,,Chacon2017
8145,8145,día úú,tortugamoteloriverturtle23683,false,expert,Chacon2017,d   i   a   -   -   -   -   -   -   -   -   -   -,,Chacon2017
8146,8146,úú bãhõdõpe,tortugamoteloriverturtle23683,false,expert,Chacon2017,-   -   -   -   u u   -   -   -   -   -   -   -   -,,Chacon2017
8147,8147,kĩ́ĩ́ jehé,sainocollaredpeccary21807,false,expert,Chacon2017,-   -   k   ĩ ĩ   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2017
8148,8148,jéhé,jabalimayorwhitelippedpeccary12116,false,expert,Chacon2017,j   e   h   e,,Chacon2017
